allergen,consistsof,containsallergen,ingredient,product,suppliedby,supplier,ref,md5_hash
"{
  ""allergen"": []
}","{
  ""consistsof"": []
}","{
  ""containsallergen"": []
}","{
  ""ingredient"": [{
    ""ingredient_id"": ""2006-09-6"",
    ""ingredient_name"": ""Aura Acai Gum"",
    ""moisture_content"": ""0.75"",
    ""ph_range"": ""6.45 – 7.15"",
    ""purity"": ""99.2"",
    ""specific_gravity_range"": ""0.920 – 0.940""
  }]
}","{
  ""product"": []
}","{
  ""suppliedby"": [{
    ""ingredient_id"": ""2006-09-6"",
    ""supplier_id"": ""VND-312""
  }]
}","{
  ""supplier"": [{
    ""facility_grade"": ""SQF Level 3 Certified"",
    ""production_site_id"": ""FAC-312-01"",
    ""supplier_id"": ""VND-312"",
    ""supplier_name"": ""SouthCrest Botanical Sourcing""
  }]
}","{
  ""ref"": {
    ""uri"": ""gs://froyo_data/suppliers/aura_acai_gum_manual.pdf"",
    ""version"": ""1778299190171210"",
    ""authorizer"": ""agent-data-cloud.us-central1.bq-connection"",
    ""details"": ""{\""gcs_metadata\"":{\""content_type\"":\""application/pdf\"",\""md5_hash\"":\""06b7b4b0a6e7237a7bdd2360a1739d0e\"",\""size\"":214020,\""updated\"":1778299190176000}}""
  }
}",06b7b4b0a6e7237a7bdd2360a1739d0e
"{
  ""allergen"": []
}","{
  ""consistsof"": []
}","{
  ""containsallergen"": []
}","{
  ""ingredient"": [{
    ""ingredient_id"": ""3343-80-2"",
    ""ingredient_name"": ""Plasma Basil Oil"",
    ""moisture_content"": ""0.75"",
    ""ph_range"": ""6.45 – 7.15"",
    ""purity"": ""99.2"",
    ""specific_gravity_range"": ""0.920 – 0.940""
  }]
}","{
  ""product"": []
}","{
  ""suppliedby"": [{
    ""ingredient_id"": ""3343-80-2"",
    ""supplier_id"": ""VND-888""
  }]
}","{
  ""supplier"": [{
    ""facility_grade"": ""SQF Level 3 Certified"",
    ""production_site_id"": ""FAC-888-02"",
    ""supplier_id"": ""VND-888"",
    ""supplier_name"": ""Titan Industrial Nutrients""
  }]
}","{
  ""ref"": {
    ""uri"": ""gs://froyo_data/suppliers/plasma_basil_oil_manual.pdf"",
    ""version"": ""1778299163695012"",
    ""authorizer"": ""agent-data-cloud.us-central1.bq-connection"",
    ""details"": ""{\""gcs_metadata\"":{\""content_type\"":\""application/pdf\"",\""md5_hash\"":\""0461da022a3b7759f1f95bb4393bc1a6\"",\""size\"":214211,\""updated\"":1778299163701000}}""
  }
}",0461da022a3b7759f1f95bb4393bc1a6
"{
  ""allergen"": []
}","{
  ""consistsof"": []
}","{
  ""containsallergen"": []
}","{
  ""ingredient"": [{
    ""ingredient_id"": ""0652-40-2"",
    ""ingredient_name"": ""Pulsar Guar Oil"",
    ""moisture_content"": ""0.75"",
    ""ph_range"": ""6.45 – 7.15"",
    ""purity"": ""99.2"",
    ""specific_gravity_range"": ""0.920 – 0.940""
  }]
}","{
  ""product"": []
}","{
  ""suppliedby"": [{
    ""ingredient_id"": ""0652-40-2"",
    ""supplier_id"": ""VND-702""
  }]
}","{
  ""supplier"": [{
    ""facility_grade"": ""SQF Level 3 Certified"",
    ""production_site_id"": ""FAC-702-01"",
    ""supplier_id"": ""VND-702"",
    ""supplier_name"": ""Golden Grain Refining""
  }]
}","{
  ""ref"": {
    ""uri"": ""gs://froyo_data/suppliers/pulsar_guar_oil_manual.pdf"",
    ""version"": ""1778299192306488"",
    ""authorizer"": ""agent-data-cloud.us-central1.bq-connection"",
    ""details"": ""{\""gcs_metadata\"":{\""content_type\"":\""application/pdf\"",\""md5_hash\"":\""b92ab878783848b4d366c64802f49da2\"",\""size\"":214403,\""updated\"":1778299192311000}}""
  }
}",b92ab878783848b4d366c64802f49da2
"{
  ""allergen"": []
}","{
  ""consistsof"": []
}","{
  ""containsallergen"": []
}","{
  ""ingredient"": [{
    ""ingredient_id"": ""3520-61-4"",
    ""ingredient_name"": ""Cyber-Flux 197"",
    ""moisture_content"": ""0.75"",
    ""ph_range"": ""6.45 – 7.15"",
    ""purity"": ""99.2"",
    ""specific_gravity_range"": ""0.920 – 0.940""
  }]
}","{
  ""product"": []
}","{
  ""suppliedby"": [{
    ""ingredient_id"": ""3520-61-4"",
    ""supplier_id"": ""VND-205""
  }]
}","{
  ""supplier"": [{
    ""facility_grade"": ""SQF Level 3 Certified"",
    ""production_site_id"": ""FAC-205-01"",
    ""supplier_id"": ""VND-205"",
    ""supplier_name"": ""NorthStar Ingredients Corp""
  }]
}","{
  ""ref"": {
    ""uri"": ""gs://froyo_data/suppliers/cyber-flux_197_manual.pdf"",
    ""version"": ""1778299175833636"",
    ""authorizer"": ""agent-data-cloud.us-central1.bq-connection"",
    ""details"": ""{\""gcs_metadata\"":{\""content_type\"":\""application/pdf\"",\""md5_hash\"":\""69163cf4830bad01fdeacf978f309fc3\"",\""size\"":214888,\""updated\"":1778299175838000}}""
  }
}",69163cf4830bad01fdeacf978f309fc3
"{
  ""allergen"": []
}","{
  ""consistsof"": []
}","{
  ""containsallergen"": []
}","{
  ""ingredient"": [{
    ""ingredient_id"": ""6515-04-9"",
    ""ingredient_name"": ""Volcanic Acacia Extract"",
    ""moisture_content"": ""0.75"",
    ""ph_range"": ""6.45 – 7.15"",
    ""purity"": ""99.2"",
    ""specific_gravity_range"": ""0.920 – 0.940""
  }]
}","{
  ""product"": []
}","{
  ""suppliedby"": [{
    ""ingredient_id"": ""6515-04-9"",
    ""supplier_id"": ""VND-205""
  }]
}","{
  ""supplier"": [{
    ""facility_grade"": ""SQF Level 3 Certified"",
    ""production_site_id"": ""FAC-205-02"",
    ""supplier_id"": ""VND-205"",
    ""supplier_name"": ""NorthStar Ingredients Corp""
  }]
}","{
  ""ref"": {
    ""uri"": ""gs://froyo_data/suppliers/volcanic_acacia_extract_manual.pdf"",
    ""version"": ""1778299206106838"",
    ""authorizer"": ""agent-data-cloud.us-central1.bq-connection"",
    ""details"": ""{\""gcs_metadata\"":{\""content_type\"":\""application/pdf\"",\""md5_hash\"":\""09a8a5ad61eb53a5794f97e9e7df3b31\"",\""size\"":214952,\""updated\"":1778299206112000}}""
  }
}",09a8a5ad61eb53a5794f97e9e7df3b31
"{
  ""allergen"": []
}","{
  ""consistsof"": []
}","{
  ""containsallergen"": []
}","{
  ""ingredient"": [{
    ""ingredient_id"": ""3550-30-4"",
    ""ingredient_name"": ""Aura Maple Syrup"",
    ""moisture_content"": ""0.75"",
    ""ph_range"": ""6.45 – 7.15"",
    ""purity"": ""99.2"",
    ""specific_gravity_range"": ""0.920 – 0.940""
  }]
}","{
  ""product"": []
}","{
  ""suppliedby"": [{
    ""ingredient_id"": ""3550-30-4"",
    ""supplier_id"": ""VND-205""
  }]
}","{
  ""supplier"": [{
    ""facility_grade"": ""SQF Level 3 Certified"",
    ""production_site_id"": ""FAC-205-01"",
    ""supplier_id"": ""VND-205"",
    ""supplier_name"": ""NorthStar Ingredients Corp""
  }]
}","{
  ""ref"": {
    ""uri"": ""gs://froyo_data/suppliers/aura_maple_syrup_manual.pdf"",
    ""version"": ""1778299191415608"",
    ""authorizer"": ""agent-data-cloud.us-central1.bq-connection"",
    ""details"": ""{\""gcs_metadata\"":{\""content_type\"":\""application/pdf\"",\""md5_hash\"":\""c7aaee44dc9b1b04ac17780e0147e797\"",\""size\"":215068,\""updated\"":1778299191420000}}""
  }
}",c7aaee44dc9b1b04ac17780e0147e797
"{
  ""allergen"": []
}","{
  ""consistsof"": []
}","{
  ""containsallergen"": []
}","{
  ""ingredient"": [{
    ""ingredient_id"": ""8112-64-6"",
    ""ingredient_name"": ""Hyper Vanilla Oil"",
    ""moisture_content"": ""0.75"",
    ""ph_range"": ""6.45 – 7.15"",
    ""purity"": ""99.2"",
    ""specific_gravity_range"": ""0.920 – 0.940""
  }]
}","{
  ""product"": []
}","{
  ""suppliedby"": [{
    ""ingredient_id"": ""8112-64-6"",
    ""supplier_id"": ""VND-205""
  }]
}","{
  ""supplier"": [{
    ""facility_grade"": ""SQF Level 3 Certified"",
    ""production_site_id"": ""FAC-205-01"",
    ""supplier_id"": ""VND-205"",
    ""supplier_name"": ""NorthStar Ingredients Corp""
  }]
}","{
  ""ref"": {
    ""uri"": ""gs://froyo_data/suppliers/hyper_vanilla_oil_manual.pdf"",
    ""version"": ""1778299173616090"",
    ""authorizer"": ""agent-data-cloud.us-central1.bq-connection"",
    ""details"": ""{\""gcs_metadata\"":{\""content_type\"":\""application/pdf\"",\""md5_hash\"":\""559228523a0b215410cce667cb099d88\"",\""size\"":215134,\""updated\"":1778299173619000}}""
  }
}",559228523a0b215410cce667cb099d88
"{
  ""allergen"": []
}","{
  ""consistsof"": []
}","{
  ""containsallergen"": []
}","{
  ""ingredient"": [{
    ""ingredient_id"": ""0547-49-2"",
    ""ingredient_name"": ""Lunar Lemon Protein"",
    ""moisture_content"": ""0.75"",
    ""ph_range"": ""6.45 – 7.15"",
    ""purity"": ""99.2"",
    ""specific_gravity_range"": ""0.920 – 0.940""
  }]
}","{
  ""product"": []
}","{
  ""suppliedby"": [{
    ""ingredient_id"": ""0547-49-2"",
    ""supplier_id"": ""VND-205""
  }]
}","{
  ""supplier"": [{
    ""facility_grade"": ""SQF Level 3 Certified"",
    ""production_site_id"": ""FAC-205-02"",
    ""supplier_id"": ""VND-205"",
    ""supplier_name"": ""NorthStar Ingredients Corp""
  }]
}","{
  ""ref"": {
    ""uri"": ""gs://froyo_data/suppliers/lunar_lemon_protein_manual.pdf"",
    ""version"": ""1778299214048043"",
    ""authorizer"": ""agent-data-cloud.us-central1.bq-connection"",
    ""details"": ""{\""gcs_metadata\"":{\""content_type\"":\""application/pdf\"",\""md5_hash\"":\""089be41ae4a26c8c135f7f32c9cb210f\"",\""size\"":215253,\""updated\"":1778299214051000}}""
  }
}",089be41ae4a26c8c135f7f32c9cb210f
"{
  ""allergen"": []
}","{
  ""consistsof"": []
}","{
  ""containsallergen"": []
}","{
  ""ingredient"": [{
    ""ingredient_id"": ""4347-62-7"",
    ""ingredient_name"": ""Aura Lavender Lecithin"",
    ""moisture_content"": ""0.75"",
    ""ph_range"": ""6.45 – 7.15"",
    ""purity"": ""99.2"",
    ""specific_gravity_range"": ""0.920 – 0.940""
  }]
}","{
  ""product"": []
}","{
  ""suppliedby"": [{
    ""ingredient_id"": ""4347-62-7"",
    ""supplier_id"": ""VND-444""
  }]
}","{
  ""supplier"": [{
    ""facility_grade"": ""SQF Level 3 Certified"",
    ""production_site_id"": ""FAC-444-02"",
    ""supplier_id"": ""VND-444"",
    ""supplier_name"": ""Emerald Valley Chemical""
  }]
}","{
  ""ref"": {
    ""uri"": ""gs://froyo_data/suppliers/aura_lavender_lecithin_manual.pdf"",
    ""version"": ""1778299144898523"",
    ""authorizer"": ""agent-data-cloud.us-central1.bq-connection"",
    ""details"": ""{\""gcs_metadata\"":{\""content_type\"":\""application/pdf\"",\""md5_hash\"":\""ee9749d6365066c011d58297de3c9dc1\"",\""size\"":215272,\""updated\"":1778299144901000}}""
  }
}",ee9749d6365066c011d58297de3c9dc1
"{
  ""allergen"": []
}","{
  ""consistsof"": []
}","{
  ""containsallergen"": []
}","{
  ""ingredient"": [{
    ""ingredient_id"": ""0601-31-1"",
    ""ingredient_name"": ""Cyber-Flux 855"",
    ""moisture_content"": ""0.75"",
    ""ph_range"": ""6.45 – 7.15"",
    ""purity"": ""99.2"",
    ""specific_gravity_range"": ""0.920 – 0.940""
  }]
}","{
  ""product"": []
}","{
  ""suppliedby"": [{
    ""ingredient_id"": ""0601-31-1"",
    ""supplier_id"": ""VND-205""
  }]
}","{
  ""supplier"": [{
    ""facility_grade"": ""SQF Level 3 Certified"",
    ""production_site_id"": ""FAC-205-02"",
    ""supplier_id"": ""VND-205"",
    ""supplier_name"": ""NorthStar Ingredients Corp""
  }]
}","{
  ""ref"": {
    ""uri"": ""gs://froyo_data/suppliers/cyber-flux_855_manual.pdf"",
    ""version"": ""1778299097447297"",
    ""authorizer"": ""agent-data-cloud.us-central1.bq-connection"",
    ""details"": ""{\""gcs_metadata\"":{\""content_type\"":\""application/pdf\"",\""md5_hash\"":\""616350141cd2ae3692e10dd50afef0c5\"",\""size\"":215425,\""updated\"":1778299097451000}}""
  }
}",616350141cd2ae3692e10dd50afef0c5
