ingredient_id,ingredient_name,purity,moisture_content,ph_range,specific_gravity_range
2006-09-6,Aura Acai Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3343-80-2,Plasma Basil Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0652-40-2,Pulsar Guar Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3520-61-4,Cyber-Flux 197,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6515-04-9,Volcanic Acacia Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3550-30-4,Aura Maple Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8112-64-6,Hyper Vanilla Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0547-49-2,Lunar Lemon Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4347-62-7,Aura Lavender Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0601-31-1,Cyber-Flux 855,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6590-94-9,Cyber Lychee Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6011-21-3,Stellar Lavender Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2309-22-2,Plasma Acacia Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2424-06-1,Vortex Xanthan Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3758-07-6,Nebula Stevia Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2239-61-0,Cyber-Flux 200,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1243-65-5,Galactic Lavender Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3620-24-3,Opal Caramel Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6381-59-3,Glacial Cane Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9020-06-3,Quantum Acai Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1017-09-2,Pulsar Maple Oil,99.2,0.75,6.45 - 7.15,0.920 - 0.940
7163-36-4,Xeno-Isolate-X 866,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3786-04-3,Volcanic Xanthan Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6133-45-1,Pulsar Cinnamon Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5405-80-1,Bio-Flux 691,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4959-13-3,Solar Cane Protein,99.2,0.75,6.45 - 7.15,0.920 - 0.940
1734-00-4,Vortex Sunflower Protein,99.2,0.75,6.45 - 7.15,0.920 - 0.940
5268-25-8,Galactic Acacia Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2083-10-7,Vortex Acacia Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3589-48-5,Galactic Lychee Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3047-31-3,Hyper Acacia Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0261-85-0,Lunar Beet Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0252-57-4,Cosmic Cinnamon Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3393-65-1,Stellar Xanthan Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5535-53-2,Aura Basil Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7068-00-1,Vortex Acacia Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9078-48-3,Opal Maple Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5779-01-4,Aura Caramel Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2218-46-6,Aura Lychee Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9437-49-0,Aura Hibiscus Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7163-93-5,Cyber-Flux 479,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3400-24-5,Zenith Chicory Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7429-16-4,Pulsar Basil Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2663-52-7,Plasma Lychee Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4215-95-6,Hyper Agave Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0466-01-3,Stellar Cinnamon Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7466-01-2,Aura Stevia Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5037-21-3,Galactic Guar Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4776-93-0,Hyper Chocolate Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3835-56-8,Lunar Chocolate Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1765-67-3,Lunar Sunflower Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4691-82-1,Cosmic Acacia Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2119-15-5,Glacial Cane Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8404-26-8,Pulsar Cane Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2225-17-2,Pulsar Sunflower Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8144-60-5,Glacial Ginger Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4664-15-2,Volcanic Guava Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1615-54-4,Plasma Locust Bean Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8662-04-4,Cyber-Flux 581,99.2,0.75,6.45 - 7.15,0.920 - 0.940
9429-06-4,Solar Maple Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4704-42-5,Vortex Hibiscus Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3283-75-8,Opal Beet Concentrate,99.2,0.75,6.45 - 7.15,0.920 - 0.940
9505-65-2,Pulsar Agave Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4639-50-4,Martian Chocolate Concentrate,99.2,0.75,6.45 - 7.15,0.920 - 0.940
2458-58-3,Asteroid Chocolate Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1639-27-2,Zenith Guava Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2802-53-2,Vortex Maple Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4539-50-7,Solar Stevia Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8792-17-1,Lunar Monk Fruit Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1685-34-0,Xeno-Isolate-X 627,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3349-74-4,Opal Agave Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0464-17-0,Neuro-Matrix 131,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8222-04-7,Asteroid Stevia Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4803-44-4,Zenith Agave Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7018-02-5,Quantum Vanilla Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4410-65-1,Cyber Basil Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8701-24-7,Asteroid Hibiscus Gum,99.2,0.75,6.45 - 7.15,0.920 - 0.940
2836-34-5,Cosmic Caramel Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1494-56-5,Hyper-Synthesizer 501,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3434-19-1,Aura Locust Bean Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8373-29-2,Glacial Caramel Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9677-21-9,Volcanic Xanthan Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2064-34-9,Plasma Cinnamon Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9462-08-7,Stellar Lemon Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9781-84-2,Aura Cinnamon Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5919-40-8,Lunar Guar Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6787-09-4,Martian Stevia Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5057-46-3,Cyber Acai Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2107-69-2,Nebula Cinnamon Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5843-55-3,Pulsar Vanilla Powder,99.2,0.75,6.45 - 7.15,0.920 - 0.940
7823-37-8,Cyber-Flux 829,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3594-43-8,Neuro-Matrix 914,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0205-73-0,Martian Pomegranate Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4559-96-4,Nebula Stevia Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9310-02-4,Hyper Chocolate Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2771-15-1,Hyper-Synthesizer 914,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9177-97-3,Asteroid Vanilla Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3870-62-0,Nebula Sunflower Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3940-82-3,Cyber Acai Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2213-49-5,Aura Hibiscus Protein,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8470-21-5,Cosmic Locust Bean Concentrate,99.2,0.75,6.45 - 7.15,0.920 - 0.940
2254-41-5,Quantum Pomegranate Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6477-68-3,Cyber Guava Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7434-22-5,Lunar Locust Bean Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
5719-70-2,Quantum Maple Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7501-68-3,Asteroid Basil Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7627-99-0,Neuro-Matrix 994,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3932-16-2,Hyper Chicory Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9856-35-3,Martian Ginger Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8978-70-8,Neuro-Matrix 578,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3031-63-0,Comet Acai Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2179-65-1,Solar Monk Fruit Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6652-65-1,Nebula Passionfruit Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3147-08-3,Nebula Mango Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0733-27-8,Zenith Sunflower Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8394-05-9,Neuro-Matrix 703,99.2,0.75,6.45 – 7.15,0.920 – 0.940
4429-65-2,Hyper Passionfruit Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1195-20-6,Solar Chocolate Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3880-31-2,Neuro-Matrix 806,99.2,0.75,6.45 – 7.15,0.920 – 0.940
6802-16-1,Asteroid Maple Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2680-99-8,Plasma Cane Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7842-78-9,Plasma-Isolate-X 590,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1933-61-1,Hyper-Synthesizer 679,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7924-46-6,Cosmic Xanthan Lecithin,99.2,0.75,6.45 – 7.15,0.920 – 0.940
2583-07-3,Krypto-Stabilizer 471,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0062-59-6,Zenith Sunflower Extract,99.2,0.75,6.45 – 7.15,0.920 – 0.940
7657-79-6,Plasma Monk Fruit Isolate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1575-20-8,Zenith Dragonfruit Powder,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1658-46-5,Galactic Lemon Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
3381-65-0,Glacial Locust Bean Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1975-17-8,Martian Basil Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
8075-94-2,Solar Chicory Gum,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9518-45-5,Cyber Chocolate Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
0854-16-7,Asteroid Basil Concentrate,99.2,0.75,6.45 – 7.15,0.920 – 0.940
9051-25-3,Nebula Passionfruit Syrup,99.2,0.75,6.45 – 7.15,0.920 – 0.940
1453-22-3,Comet Egg Oil,99.2,0.75,6.45 – 7.15,0.920 – 0.940
