order_id,customer_id,order_date
50000,1030,2025-10-01
50001,1966,2026-01-04
50002,1568,2025-04-23
50003,1971,2025-09-06
50004,1286,2025-08-07
50005,1230,2025-12-20
50006,1155,2025-09-10
50007,1349,2025-08-09
50008,1918,2025-12-04
50009,1402,2025-08-28
50010,1672,2025-11-19
50011,1140,2026-01-13
50012,1089,2025-10-08
50013,1747,2025-07-07
50014,1391,2025-10-08
50015,1533,2025-06-21
50016,1983,2025-03-19
50017,1694,2026-02-12
50018,1627,2025-12-20
50019,1893,2025-05-04
50020,1640,2025-11-01
50021,1702,2025-12-01
50022,1232,2025-04-21
50023,1427,2025-06-07
50024,1246,2025-07-23
50025,1586,2025-06-21
50026,1156,2025-03-31
50027,1436,2025-10-23
50028,1993,2025-03-12
50029,1319,2026-02-02
50030,1931,2025-04-30
50031,1619,2025-03-07
50032,1337,2025-04-04
50033,1459,2025-05-05
50034,1555,2025-03-07
50035,1134,2025-10-16
50036,1211,2025-07-16
50037,1668,2025-08-22
50038,1141,2025-10-10
50039,1594,2025-09-28
50040,1554,2025-03-13
50041,1700,2025-05-15
50042,1819,2025-11-13
50043,1207,2025-02-28
50044,1883,2026-01-27
50045,1141,2025-10-22
50046,1316,2026-01-29
50047,1705,2025-12-25
50048,1722,2025-08-14
50049,1920,2025-10-15
50050,1536,2025-07-06
50051,1931,2025-11-23
50052,1138,2026-01-15
50053,1440,2025-12-21
50054,1930,2025-12-11
50055,1999,2025-03-17
50056,1788,2025-10-07
50057,1148,2025-09-05
50058,1671,2025-11-19
50059,1955,2025-12-26
50060,1578,2025-03-24
50061,1939,2025-05-14
50062,1161,2025-09-02
50063,1325,2025-04-02
50064,1069,2025-05-19
50065,1570,2025-07-15
50066,1545,2025-05-05
50067,1971,2025-10-22
50068,1736,2025-09-20
50069,1121,2026-02-05
50070,1188,2025-09-16
50071,1325,2025-09-16
50072,1859,2025-11-24
50073,1900,2025-12-01
50074,1149,2025-09-23
50075,1744,2025-10-28
50076,1030,2025-11-08
50077,1783,2025-07-30
50078,1326,2025-04-03
50079,1901,2025-12-11
50080,1996,2025-09-13
50081,1423,2025-08-27
50082,1984,2025-10-22
50083,1421,2025-09-07
50084,1310,2025-10-01
50085,1453,2026-01-31
50086,1763,2026-01-20
50087,1956,2025-09-13
50088,1841,2026-02-23
50089,1915,2025-12-30
50090,1652,2025-07-24
50091,1955,2025-10-13
50092,1756,2025-12-23
50093,1280,2025-06-22
50094,1155,2025-05-23
50095,1797,2025-09-11
50096,1192,2025-07-11
50097,1109,2025-09-13
50098,1134,2025-11-23
50099,1189,2025-07-05
50100,1026,2025-08-08
50101,1780,2026-02-10
50102,1626,2025-02-24
50103,1631,2025-03-08
50104,1273,2025-06-08
50105,1620,2025-03-01
50106,1580,2025-04-14
50107,1627,2026-01-15
50108,1236,2025-02-26
50109,1610,2026-02-19
50110,1237,2025-05-13
50111,1236,2025-06-19
50112,1703,2025-12-03
50113,1026,2026-02-04
50114,1367,2025-12-21
50115,1081,2026-01-26
50116,1704,2025-08-30
50117,1798,2025-09-20
50118,1488,2025-09-21
50119,1137,2025-03-30
50120,1514,2025-08-11
50121,1866,2025-04-22
50122,1619,2025-05-31
50123,1480,2026-01-15
50124,1729,2025-05-26
50125,1665,2025-05-28
50126,1382,2025-06-13
50127,1188,2025-09-20
50128,1872,2025-09-20
50129,1396,2025-05-14
50130,1503,2025-03-24
50131,1485,2025-06-22
50132,1140,2025-08-19
50133,1167,2025-08-21
50134,1197,2026-01-19
50135,1231,2025-11-08
50136,1033,2025-12-20
50137,1418,2025-03-30
50138,1782,2025-10-17
50139,1992,2025-03-09
50140,1015,2025-12-16
50141,1947,2025-07-13
50142,1276,2025-12-06
50143,1973,2026-01-27
50144,1422,2025-06-26
50145,1227,2026-01-12
50146,1760,2025-08-01
50147,1687,2026-01-30
50148,1207,2025-04-09
50149,1775,2025-12-02
50150,1209,2025-11-24
50151,1067,2025-12-31
50152,1181,2026-01-29
50153,1949,2025-10-14
50154,1977,2025-10-13
50155,1449,2025-03-15
50156,1887,2025-09-03
50157,1631,2025-06-20
50158,1501,2025-09-18
50159,1704,2025-06-23
50160,1332,2025-11-06
50161,1887,2025-04-21
50162,1468,2025-10-28
50163,1908,2026-02-24
50164,1252,2026-02-14
50165,1437,2025-11-26
50166,1414,2025-09-22
50167,1794,2025-03-28
50168,1042,2025-08-01
50169,1622,2025-12-08
50170,1752,2025-04-19
50171,1844,2025-06-27
50172,1389,2025-08-17
50173,1737,2025-11-23
50174,1320,2025-09-12
50175,1403,2025-05-31
50176,1626,2025-07-19
50177,1961,2025-08-02
50178,1760,2025-11-06
50179,1585,2025-11-29
50180,1608,2025-08-19
50181,1549,2025-05-07
50182,1537,2025-07-18
50183,1656,2025-09-21
50184,1896,2025-09-17
50185,1721,2026-02-23
50186,1805,2025-09-03
50187,1039,2025-05-23
50188,1533,2025-06-01
50189,1111,2025-07-31
50190,1462,2025-11-01
50191,1467,2025-09-22
50192,1846,2025-04-06
50193,1898,2025-07-25
50194,1043,2025-07-07
50195,1898,2025-05-04
50196,1251,2025-06-30
50197,1531,2025-10-21
50198,1550,2025-12-02
50199,1405,2025-04-26
50200,1752,2025-07-01
50201,1040,2025-12-21
50202,1571,2025-12-14
50203,1396,2025-10-10
50204,1528,2025-08-04
50205,1783,2026-01-28
50206,1645,2025-05-20
50207,1985,2025-11-01
50208,1050,2025-04-22
50209,1194,2025-11-17
50210,1298,2025-03-27
50211,1450,2025-11-21
50212,1407,2025-05-23
50213,1905,2025-10-09
50214,1311,2025-04-19
50215,1792,2025-12-25
50216,1847,2025-06-09
50217,1292,2025-06-29
50218,1472,2025-12-15
50219,1170,2025-06-15
50220,1432,2025-08-15
50221,1301,2025-06-25
50222,1627,2025-11-21
50223,1941,2025-05-12
50224,1055,2025-09-11
50225,1706,2025-11-25
50226,1529,2025-09-12
50227,1925,2025-10-10
50228,1145,2026-02-22
50229,1474,2025-11-05
50230,1849,2025-10-26
50231,1661,2025-07-11
50232,1462,2026-01-21
50233,1092,2025-09-04
50234,1739,2025-05-28
50235,1512,2025-03-18
50236,1115,2025-05-08
50237,1184,2025-11-05
50238,1797,2025-06-03
50239,1599,2025-08-13
50240,1960,2026-02-04
50241,1915,2025-03-20
50242,1712,2025-10-23
50243,1559,2025-10-24
50244,1138,2026-01-24
50245,1402,2025-07-05
50246,1423,2025-04-04
50247,1331,2025-06-11
50248,1461,2026-01-13
50249,1025,2025-07-15
50250,1183,2026-02-17
50251,1464,2025-08-29
50252,1604,2025-11-10
50253,1918,2026-01-20
50254,1729,2025-08-20
50255,1917,2025-09-30
50256,1206,2025-03-28
50257,1903,2025-05-07
50258,1465,2026-02-12
50259,1092,2025-09-17
50260,1256,2025-11-11
50261,1331,2025-03-10
50262,1708,2026-01-27
50263,1664,2025-06-15
50264,1928,2025-08-22
50265,1728,2025-11-23
50266,1815,2025-03-02
50267,1167,2025-11-01
50268,1735,2025-07-04
50269,1750,2025-06-14
50270,1126,2026-02-23
50271,1093,2026-02-17
50272,1116,2025-06-04
50273,1723,2025-03-18
50274,1460,2025-05-29
50275,1649,2025-07-15
50276,1371,2026-02-24
50277,1087,2026-02-21
50278,1536,2026-02-04
50279,1724,2026-02-06
50280,1393,2025-05-17
50281,1744,2025-06-29
50282,1810,2025-07-17
50283,1998,2025-04-15
50284,1523,2025-11-18
50285,1626,2025-09-02
50286,1972,2025-10-30
50287,1163,2026-01-09
50288,1387,2025-11-02
50289,1563,2025-07-26
50290,1389,2025-09-21
50291,1044,2025-07-30
50292,1786,2025-06-18
50293,1174,2025-10-03
50294,1934,2025-08-07
50295,1343,2025-04-13
50296,1579,2025-10-20
50297,1892,2025-09-24
50298,1675,2025-11-01
50299,1883,2025-05-09
50300,1153,2025-04-15
50301,1166,2025-11-03
50302,1889,2026-01-18
50303,1148,2026-01-22
50304,1183,2025-07-31
50305,1787,2026-01-22
50306,1729,2025-12-02
50307,1052,2025-10-22
50308,1429,2025-09-18
50309,1315,2025-04-22
50310,1316,2025-03-20
50311,1747,2025-09-07
50312,1787,2025-11-14
50313,1984,2025-05-02
50314,1456,2025-12-28
50315,1295,2025-04-18
50316,1641,2025-03-06
50317,1185,2025-06-20
50318,1120,2026-02-15
50319,1920,2026-02-10
50320,1134,2025-06-15
50321,1983,2025-11-23
50322,1207,2025-12-21
50323,1003,2025-10-15
50324,1637,2025-11-21
50325,1783,2025-04-20
50326,1259,2025-05-03
50327,1012,2025-04-13
50328,1469,2025-03-05
50329,1509,2026-02-19
50330,1875,2025-10-07
50331,1510,2025-10-03
50332,1556,2025-10-06
50333,1826,2025-09-30
50334,1005,2025-05-19
50335,1622,2025-03-05
50336,1903,2025-03-25
50337,1505,2025-12-06
50338,1243,2025-04-14
50339,1222,2025-12-30
50340,1602,2025-08-14
50341,1675,2025-10-19
50342,1487,2025-05-02
50343,1464,2025-07-15
50344,1419,2025-08-16
50345,1452,2025-04-24
50346,1081,2025-05-17
50347,1615,2025-07-23
50348,1614,2026-02-13
50349,1006,2026-01-28
50350,1250,2026-02-06
50351,1903,2025-05-16
50352,1560,2025-10-27
50353,1284,2025-05-09
50354,1634,2025-05-09
50355,1643,2025-04-29
50356,1570,2026-02-08
50357,1839,2025-08-03
50358,1845,2025-10-07
50359,1212,2025-11-02
50360,1050,2026-01-07
50361,1189,2026-01-14
50362,1151,2025-07-30
50363,1056,2025-12-05
50364,1668,2025-10-04
50365,1357,2025-12-22
50366,1037,2025-11-14
50367,1148,2025-07-18
50368,1874,2026-02-02
50369,1033,2025-09-21
50370,1683,2025-09-08
50371,1591,2025-10-16
50372,1858,2025-11-08
50373,1617,2025-03-10
50374,1305,2025-04-05
